t1,r1,p1,l1,t2,r2,p2,l2,t3,r3,p3,l3,t4,r4,p4,l4,t5,r5,p5,l5,t6,r6,p6,l6,op1,op2,op3,op4,op5,op6,sv1,sv2,sv3,sv4,sv5,sv6,lt,tt,pt,game_score,estado
98.446713,1,31,7,28.551173,1,11,10,134.298873,2,39,16,42.32764,1,2,10,30.616267,1,3,8,43.56228,1,3,10,1,1,1,1,1,1,1,1,1,1,1,1,61,377.802947,89,15.079723,A
71.269041,2,5,7,74.697743,2,15,14,107.228091,2,12,16,32.665572,1,2,10,44.524183,1,3,8,44.223159,2,5,10,1,0,1,1,1,1,1,1,1,1,1,1,65,374.60779,42,12.806407,A
195.711653,1,32,26,54.75572,1,9,19,73.01286,1,8,17,47.997533,1,8,13,105.58674,3,16,12,77.51294,1,7,18,0,0,0,0,0,0,0,0,0,1,1,0,105,554.577447,80,23.244873,A
45.878428,1,1,7,116.014346,2,4,10,166.018749,1,4,17,102.076048,2,5,10,78.576187,1,1,12,86.560837,2,5,10,1,1,0,1,0,1,1,1,0,1,1,1,66,595.124595,20,13.745393,A
242.724432,3,33,22,103.45602,3,32,18,201.831555,5,85,35,18.57241,1,9,10,49.670627,2,17,19,32.664138,1,10,15,0,0,0,1,0,0,0,0,0,1,0,0,119,648.919181,186,32.880887,A
67.16651,1,4,11,157.272676,2,10,10,598.723824,3,21,22,231.578472,3,24,17,55.839033,1,2,8,126.072548,1,9,18,0,1,0,0,1,0,1,1,0,0,1,0,86,1236.653064,70,26.185682,A
140.29136,1,2,11,189.46064,6,4,10,305.076,8,20,16,35.41904,1,3,10,24.6818,1,2,8,38.80688,1,3,10,0,1,1,1,1,1,1,1,1,1,1,1,65,733.73572,34,15.781272,A
113.123338,1,11,9,72.3449,1,13,12,366.670905,4,26,22,64.189075,1,4,12,84.747624,1,5,14,81.864912,1,3,12,0,0,0,0,0,0,1,1,0,1,1,1,81,782.940754,62,20.521138,A
97.013792,1,5,9,148.67001,2,9,15,1080.815802,6,66,46,351.579234,1,31,36,97.713598,1,12,14,120.10905,1,19,24,0,0,0,0,0,0,1,1,0,0,1,0,144,1895.901486,142,46.199911,A
72.996628,1,7,8,55.205402,2,9,10,112.926194,2,16,16,47.492763,1,2,11,41.195809,1,4,10,38.913656,1,3,10,0,1,1,0,0,1,1,1,1,1,1,1,65,368.730453,41,12.688426,A
133.978466,4,22,9,27.898969,1,10,12,40.648809,1,28,26,24.415798,1,11,10,15.39942,1,9,13,46.748313,3,17,10,0,0,0,1,0,1,1,1,0,1,1,1,80,289.089775,97,17.741437,A
