op1;op2;op3;op4;op5;op6;sv1;sv2;sv3;sv4;sv5;sv6;lt;tt;pt;game_score;score;score_a;score_p;score_d;score_s;programa;sol1;estado
0;0;0;1;0;1;1;1;0;1;1;1;80;289.089775;97;17.741437;9;6;4;3;3;'INGENIERIA CIVIL INDUSTRIAL';6.7;A
1;1;0;0;1;0;1;1;0;0;1;1;72;369.741322;41;13.813565;8;5;3;3;3;'INGENIERIA EN COMPUTACION E INFORMATICA';6.6;A
1;1;0;0;0;0;1;1;0;1;0;1;81;597.124884;26;16.522446;6;4;4;1;0;'BACHILLERATO EN CIENCIAS';7;A
0;1;0;0;1;1;1;1;0;1;1;1;70;883.445842;69;20.167028;8;5;4;3;3;'INGENIERIA EN COMPUTACION E INFORMATICA';3.8;A
0;0;0;0;0;0;1;0;0;0;1;0;121;929.241955;49;27.509808;4;3;2;1;2;'INGENIERIA EN COMPUTACION E INFORMATICA';6;A
0;1;1;1;1;0;1;1;1;1;1;0;72;469.032317;67;16.364686;6;3;3;2;1;'INGENIERIA CIVIL INDUSTRIAL';7;A
0;0;1;1;1;1;1;1;1;1;1;1;64;560.339505;35;14.010188;7;4;4;1;2;'INGENIERIA CIVIL INDUSTRIAL';5.4;A
0;1;1;0;0;0;1;1;1;1;1;1;79;817.9195;135;25.01291;6;4;2;3;3;'INGENIERIA CIVIL INFORMATICA';6.2;A
0;1;0;0;0;0;1;1;0;1;1;0;105;361.56862;102;22.730639;5;3;2;1;2;'INGENIERIA CIVIL INDUSTRIAL';6.2;A
0;1;1;0;0;1;1;1;1;1;1;1;71;558.593;45;15.721457;7;5;3;2;1;'INGENIERIA CIVIL INDUSTRIAL';6.2;A
1;1;1;0;1;1;1;1;1;1;1;1;65;350.230318;35;12.142286;9;6;5;2;2;'INGENIERIA EN COMPUTACION E INFORMATICA';5.9;A
0;1;1;1;1;0;1;1;1;1;1;1;65;888.993744;69;19.423853;8;6;4;3;2;'INGENIERIA CIVIL INDUSTRIAL';5.8;A
0;1;0;0;1;1;1;1;0;1;1;1;67;229.397046;70;13.439676;8;4;4;3;2;'INGENIERIA CIVIL INFORMATICA';5.6;A
0;1;0;0;0;0;1;1;0;1;0;0;108;656.447334;25;21.33575;10;7;5;2;2;'INGENIERIA EN COMPUTACION E INFORMATICA';4.8;A
1;1;0;0;0;1;1;1;0;0;1;1;81;445.089446;48;16.403545;8;5;4;2;2;'INGENIERIA CIVIL INDUSTRIAL';6.9;A
1;1;1;1;1;1;1;1;1;1;1;1;61;354.886962;37;11.672399;7;4;4;2;3;'INGENIERIA EN COMPUTACION E INFORMATICA';6.7;A
1;1;0;0;1;0;1;1;0;1;1;1;70;741.780679;71;18.922716;9;5;5;2;3;'INGENIERIA CIVIL INDUSTRIAL';5;A
0;1;0;0;0;0;1;1;0;1;1;0;79;706.686267;105;22.101471;7;5;2;3;2;'INGENIERIA CIVIL INDUSTRIAL';6.1;A
1;1;1;0;0;1;1;1;1;1;1;1;65;356.551735;18;11.16163;11;7;5;3;2;'INGENIERIA CIVIL INDUSTRIAL';6.6;A
1;1;1;1;1;1;1;1;1;1;1;1;61;515.710732;37;13.224111;3;2;1;1;1;'INGENIERIA EN COMPUTACION E INFORMATICA';3.7;A
0;0;1;0;0;1;1;1;1;1;0;1;75;605.161512;42;16.624318;1;1;0;0;1;'INGENIERIA CIVIL INDUSTRIAL';5.9;A
1;0;0;0;0;0;1;1;0;0;1;0;99;812.205967;44;22.568718;6;4;1;3;3;'INGENIERIA CIVIL INDUSTRIAL';6.3;A
1;1;0;0;1;0;1;1;0;1;1;1;70;294.553727;60;13.93363;10;6;5;3;2;'INGENIERIA CIVIL INFORMATICA';6.3;A
1;1;1;0;0;1;1;1;1;1;1;1;65;613.321714;66;16.580205;6;5;1;2;3;'INGENIERIA CIVIL INDUSTRIAL';5.2;A
0;1;1;0;0;0;1;1;1;0;0;1;82;500.824147;40;16.610456;8;7;1;4;3;'INGENIERIA CIVIL INDUSTRIAL';3.8;A
1;0;0;0;0;1;1;1;0;1;1;1;77;455.510549;54;16.23437;11;7;5;3;3;'INGENIERIA INDUSTRIAL';6.6;A
0;1;1;1;1;1;1;1;1;1;1;1;63;461.604343;17;11.795277;7;4;2;3;3;'INGENIERIA CIVIL INFORMATICA';4.3;A
1;1;0;0;1;1;1;1;0;1;1;1;64;261.827917;29;10.762352;10;7;4;3;3;'INGENIERIA CIVIL INFORMATICA';6.8;A
1;1;0;0;0;1;1;1;0;1;1;1;67;386.375631;49;13.667545;5;3;3;2;1;'INGENIERIA CIVIL INDUSTRIAL';6.1;A
1;1;1;1;1;1;1;1;1;1;1;1;61;926.111986;35;17.061328;7;5;3;2;3;'INGENIERIA EN COMPUTACION E INFORMATICA';6.3;A
1;1;1;0;1;1;1;1;1;1;1;1;63;1034.175382;45;19.035396;7;5;3;2;3;'INGENIERIA EN COMPUTACION E INFORMATICA';6;A
0;1;0;1;1;1;1;1;0;1;1;1;64;584.21704;48;15.037126;6;4;3;1;2;'INGENIERIA CIVIL INDUSTRIAL';6.6;A
